Geographic_region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,34.99,29.95,20.53,23.2,24.02,18.29,18.7,17.83,25.81,23.65,25,21.7,19.16
Belgium,38.07,40.16,38.75,37.5,34.22,35.98,37.13,5.99,6.87,8.05,8.05,9.03,7.62
Bulgaria,5.07,4.35,4.65,4.23,3.77,3.56,3.53,3.58,3.34,5,5.22,4.74,4.76
Croatia,7.82,5.96,3.67,3.78,3.23,3.71,2.78,3.93,3.58,2.96,3.07,3.48,3.35
Cyprus,,,,,,,,,0.24,0.12,0.12,0.11,0.23
Czechia,5.11,4.6,5.6,6.44,6.37,5.59,5.18,5.14,5.58,5.59,5.54,5.82,5.16
Denmark,,,,,,,,2.14,2.35,2.54,2.77,3.43,3.28
Estonia,,,,,,,,,,,,,
Finland,27.53,25.25,20.91,25.19,34.81,24.36,26.14,24.31,22.93,21.04,20.33,28.4,25.28
France,,12.32,11.72,11.79,14.72,15.09,16.38,17.38,18.83,19.74,22.43,24.26,23.02
Germany,44.84,35.85,24.94,24.92,23.41,23.39,23.2,22.49,24.1,23.2,28.44,28.36,27.67
Greece,,,,,,,,,,,,,
Hungary,1.79,3.23,5.53,4.72,4.8,4.43,2.12,1.68,,,,,
Iceland,,,,,,,,,,,,,
Ireland,,5.49,6.48,6.21,4.84,,,,,10.41,5.88,8.3,9
Italy,7.96,7.68,7.67,7.84,7.45,7.41,7.28,6.76,,,,,
Latvia,5.38,4.48,4.43,6.65,6.94,5.68,6.2,6.8,3.3,4.67,5.69,4.69,4.98
Liechtenstein,,,,,,,26.93,56.2,18.61,,,,
Lithuania,3.7,4.84,5.19,6.62,4.79,4.48,5.5,5.61,4.19,3.48,2.56,2.72,1.61
Luxembourg,,57.14,51.59,50.6,57.73,57.17,62.58,47.78,28.11,32.51,0,,0
Malta,7.85,9.73,14.01,11.33,12.21,10.92,9.64,14.21,,,,,
Netherlands,35.32,31.42,28.02,25.76,24.92,6.09,5.18,4.83,5.31,4.85,5.1,4.61,3.05
Norway,8.17,7.11,8.09,8.98,7.62,7.9,7.73,7.63,10.04,9.39,9.5,9.29,9.11
Poland,,,,,,0.48,0.48,0.48,0.58,0.53,0.46,0.53,0.47
Portugal,12.92,16.07,8.66,9.33,8.97,9.23,9.28,9.52,10.03,9.51,9.76,10,9.11
Romania,2.21,2.51,,,2.85,3.09,3.16,0.25,0.34,0.41,1.06,1.23,1.24
Slovakia,,,,,,0.83,0.68,1.03,0.65,1.14,0.96,0.94,0.75
Slovenia,2.04,2.51,2.78,1.31,1.94,1.99,1.7,1.16,1.79,1.94,1.45,1.83,2.48
Spain,11.35,9.96,11.05,11.95,11.35,10.4,11.47,11.44,7.43,13.36,14.74,13.6,12.02
Sweden,27.81,30.22,30.34,30.87,29.16,27.79,29.94,30.82,34.05,37.33,39.19,40.63,40.4