Geographicregion,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,7.15,7.85,12.99,13.12,13.3,13.24,13.02,12,13.12,16.14,18.75,18.26,17.83
Belgium,13.57,13.61,13.24,12.88,12.44,10.9,9.68,4.07,3.78,4.55,4.18,4.45,3.36
Bulgaria,3.03,2.41,1.91,1.28,1.53,1.25,1.39,0.74,1.09,0.82,1.01,1.06,1.06
Croatia,3.39,2.3,2.81,2.31,2.41,4.08,4.1,3.27,3.36,3.3,3.12,3.68,3.3
Cyprus,5.41,,,,,,,,2.59,1.87,3.01,2.63,2.59
Czechia,3.34,3.02,3.6,3.86,3.85,3.48,3.71,3.67,4.39,4.22,4.14,4.23,3.91
Denmark,,,,,,,,4.7,6.15,7.24,7.78,7.94,8.19
Estonia,4.48,,,,,,,,,,,,
Finland,12.09,9.61,10.73,11.98,14.27,14.74,13.15,14.82,15.05,17.04,14.33,19.36,23
France,10.83,10.75,10.56,11.19,11.41,11.87,12.58,13.16,14.59,15.9,18.34,20.11,21.54
Germany,7.74,7.65,8.16,8.08,8.44,7.8,7.63,7.26,7.88,8.48,9.43,9.93,10.56
Greece,3.11,3.35,3.87,3.05,3.08,2.93,2.5,2.07,2.18,2.28,2.36,2.15,1.51
Hungary,2.83,2.33,3.03,2.65,2.53,2.53,2.61,3.73,4.11,3.58,2.07,3.21,4.65
Italy,,,,,,,,,,,,,
Iceland,,,,,,,,,51.42,53.79,66.01,51.82,42.84
Ireland,0.54,,,,,,,,,4.93,2.03,3,4.94
Latvia,9.99,4.67,9.43,1.74,2.4,4.25,4.85,3.93,6.15,7.69,7.5,6.46,7.29
Liechtenstein,8.49,0,0,5.53,13.71,5.43,10.77,2.68,5.32,,,2.61,12.9
Lithuania,3.3,4.71,4.84,5.57,3.66,2.96,3.67,3.08,2.87,3.62,2.63,2.43,1.57
Luxembourg,9.3,9.93,11.55,11.72,,,9.28,10.3,15.1,15.41,11.96,14.82,16.93
Malta,,,,,,,,,,,,,
Netherlands,8.29,7.79,6.12,5.55,4.78,4.2,3.84,3.69,3.38,3.59,3.52,3.84,2.81
Norway,7.85,7.86,8.42,7.21,7.86,8.12,7.87,7.66,8.48,9.95,9.5,9.59,10.02
Poland,2.68,2.49,2.21,2.35,2.25,1.06,1.1,0.9,0.97,1.05,1.17,1.08,0.87
Portugal,2.39,2.36,1.88,1.39,1.42,1.6,1.41,1.44,1.42,1.52,1.6,1.51,1.16
Romania,4.98,4.91,,,4.29,4.65,3.9,4.03,3.8,5.87,6.46,6.62,6.9
Slovakia,1.75,1.9,1.6,1.54,0.94,0.85,1.16,0.98,0.92,1.03,1.1,1.12,0.97
Slovenia,2.09,3.35,2.3,1.9,2.24,1.85,1.99,1.89,1.4,1.98,1.6,1.63,1.96
Spain,2.28,2.99,2.66,2.27,1.85,1.84,2.04,1.91,1.49,2.28,2.63,2.65,2.23
Sweden,25,28.49,31.01,29.45,29.25,27.99,29.11,29.16,29.77,33,35.85,42.25,45.29